terpaan	attack.
tth.	(tanpa tahun) no year of publication (in bibliographies, etc.).
tts	(teka teki silang) crossword puzzle.
ttt.	(tanpa tahun terbitan) no date of publication (in bibliographies, etc.).
tu	(tata usaha) administration.
tua	1 old. 2 ripe. 3 head, chief. 4 pure. 5 dark (of color).
tua-renta	very old and decrepit.
tua-tua	1 older. 2 (java) although old. 3 age spots.
tuaan	tuaan
tuah	1 good luck, good fortune. 2 magic powe. 3 respect, honor, prestige.
tuai	k.o. crescent-shaped reaping knife that fits in the palm of the hand.
tuak	fermented palm wine, esp. of sugar or coconut palm.
tual	a block of wood.
tuala	(lit.) towel.
tualang	1 fly about (of bees, etc.). 2 without permanent residence.
tuam	hot compress.
tuan	1. 1) mr., term of reference and address for western and (occasionally) westernized adult males. 2) (coll.) ma'am, for western women (in some areas). 3) (lit.) master. 2. see tuhan.
tuan-hamba	(lit.) you, very respectful and servile.
tuang	pour.
tuang-tuang	k.o. bamboo horn.
tuangan	1 s.t. poured or cast. 2 a mold used in casting.
tuangku	tuangku
tuanku	(lit.) title of royalty.
tuarang	(lit.) dry season.
tuas	lever.
tub	tube (of paint, toothpaste, etc.).
tuba	1 name of plants from which a stupefying drug is obtained. 2 stupefying drug used in fishing.
tubagus	title of a nobility in banten, west java.
tuban-tuban	(anat.) amnion, fetal membrane.
tube	see tub.
tuberculosa	(med.) tuberculosis.
tubin	(lit.) four days from now.
tubir	1 ravine, gully. 2 sea chasm. 3 precipice, edge of s.t. deep.
tubruk	1. 1) a lunge. 2) a slamming action, collision. 2. see kopi 2.
tubrukan	1 collision, crash. 2 impact.
tubuh	1 body. 2 (lit.) person.
tuding	1 sloping, at an angle. 2. (java) index finger.
tudingan	1 s.t. which is pointed at. 2 accusation.
tuduh	accuse.
tuduhan	accusation, complaint, charge.
tudung	1 veil, cover. 2 sun hat.
tufah	(lit.) apple.
tugal	a dibble.
tugalan	s.t. dibbled.
tugas	1 duty. 2 order, assignment. 3 task.
tugu	1 post, column, pillar. 2 monument.
tuguran	stand guard during a commemoration.
tuh	see itu.
tuhan	god.
tuhfah	(lit.) gift.
tuil	a lever.
tuit	tweed.
tuju	(lit.) k.o. bewitchment by pointing at the victim.
tujuan	1 aim, purpose, objective. 2 direction, destination. 3 (ling.) object.
tujuh	seven.
tuk	1. sound of knocking on wood. 2 see datuk.
tuk-tuk	sound of repeated tapping.
tukai	(vulg.) female sex organs.
tukak	sore, ulcer.
tukal	a variable measure of length for thread equivalent to 16 rian.
tukang	1 skilled laborer or craftsman. tukang-azan o. who summons to. tukang-besi blacksmith. tukang-bubut a filter. tukang-jambret purse snatcher. tukang-loak seconhand dealer. 2 o. who has the bad habit of doing s.t.
tukar	exchange.
tukas	1. (m) 1) false accusation, aspersion. 2) say accusingly. 2. 1) say in rejection (of earlier discourse). 2) respond. 3. k.o. rattan.
tukasan	false accusation, slander.
tukik	1. dive. 2. notch, nick, indentation. 3. woodpecker.
tukil	see nukil.
tukuk	see tokok 1.
tukul	hammer. tukul-kayu mallet.
tul	see betul.
tul-tul	polka-dot.
tulah	1. calamity brought on by a curse or breaking a taboo. 2. see tuslah.
tulang	bone. tulang-belakang spine, backbone. tulang-hasta ulna. tulang-kering shinbone. tulang-muda cartilage.tulang-punggung spinal column. tulang-selangka collarbone. tulang-sendi joint. tulang-sum-sum bone with marrow.
tulang-tulangan	1 all k.o. bones. 2 skeleton. 3 carcass, frame.
tularan	1 contagion. 2 s.o. or s.t. that is infected.
tulat	(lit.) three days from now (the day after tomorrow).
tule	k.o. fabric, tulle.
tulen	pure, genuine.
tuli	deaf. tuli-bisu deaf mute.
tuli-tuli	(lit.) k.o. silver cord decoration on some kris sheaths.
tulis	write.
tulisan	tulisan
tulung	see tolong.
tulus	honest, sincere. tulus-ikhlas honest and straightforward.
tuma	louse, esp. human head lice.
tuman	(jakarta) be accustomed to.
tumang	1. 1) k.o. peg or stake. 2) rock or stick to support pan on a brazier. 2. (ambon) leaf container for sago meal.
tumbak	see tombak.
tumbal	1 (java, jakarta) s.t. used to prevent disease or misfortune. 2 protective agent.
tumbang	fall down with a crash (of s.t. large and erect).
tumben	(jakarta) 1 for the first time. 2 how odd ! (exclamation of surprise).
tumbu	(java) k.o. small basket.
tumbuh	1 grow, sprout up. 2 appear from below, arise.
tumbuh-tumbuhan	all k.o. plants.
tumbuhan	tumbuhan
tumbuk	pound.
tumbukan	1 blow, pounding. 2 s.t. pounded or crushed. 3 crash, collision. 4 impact.
tumbung	1. lump, bulge. 2. see tombong 2.
tumenggung	see temenggung.
tumis	a culinary procedure similar to sauteing but at a higher temperature.
tumit	heel.
tumor	(med.) tumor.
tumpah	spilled.
tumpahan	1 s.t. spilled. 2 concentration (of efforts).
tumpak	batch, collection.
tumpang	join with others. tumpang-sari intercropping.
tumpangan	1 lodging. 2 fare, passenger, load. 3 inclusion, addition.
tumpas	destroyed, annihilated, exterminated.
tumpat	1 stopped up, clogged up. 2 crammed, solid. 3 be at the end of o.'s rope.
tumpeng	(java) ceremonial dish of yellow rice served in a cone shape.
tumpengan	ritual in which this dish is served.
tumpes	see tumpas.
tumpil	(jakarta) supporting pole, prop.
tumplek	(java) spilled all over.
tumpu	1 footing. 2 foothold, support. 3 springboard.
tumpuan	1 support, pillar, prop. 2 stepping stone. 3 focus, center.
tumpuk	heap, pile, stack.
tumpukan	1 stack, heap, mound. 2 group.
tumpul	1 dull, blunt. 2 dull, stupid. 3 obtuse (of angles).
tumpur	1 ruined, destroyed. 2 (coll.) broke, penniless.
tun	(lit.) title for noblemen.
tuna	(lit.) a wound.
tuna-	privative affix forming literary and fancy compounds.
tunaaksara	(lit.) illiterate.
tunabusana	(lit.) naked, without clothing.
tunadiri	(lit.) without personality.
tunai	cash.
tunakarya	(lit.) unemployed.
tunakawaca	(lit.) barely dressed.
tunalaras	(lit.) unsociable.
tunanetra	(lit.) blind.
tunangan	fiance, fiancee.
tunarungu	(lit.) deaf. tunarungu-wicara deaf and mute.
tunas	shoot, bud.
tunasusila	(lit.) immoral. wanita-tunasusila prostitute.
tunawicara	(lit.) mute.
tunawisma	(lit.) homeless, without housing.
tunda	1. tow. 2. 1) postpone, delay. 2) adjourn. 3. (m) push s.t.
tundangan	(jakarta) engaged, betrothed.
tunduk	1 be bent down. 2 be bent in submission, submit to a higher authority.
tundun	(java) bunch of fruit. se-tundun pisang a bunch of banana.
tundungan	exile, exiled.
tungau	k.o. mite that infests fowls, mite.
tunggak	1. 1) arrears. 2) remainder. 2. see tonggak 1.
tunggakan	1 arrears. 2 remainder.
tunggal	1. 1) one and only, just one. 2) (ling.0 singular. 3) (ling.) simple. 4) whole, complete, unconditional. 2. banner.
tunggang	1. 1) upside down. 2) steep. 2. 1) mount, riding animal. 2) carriage, vehicle.
tunggangan	1 mount, riding animal. 2 carriage, vehicle.
tunggik	see tunggang1.
tungging	1. with tail end up. 2. four days from now.
tunggit	with the posterior facing outward.
tunggu	wait.
tunggul	tree stump, stubble.
tungkai	leg.
tungku	hearth, fireplace.
tungkulan	a push from behind.
tungkup	(m) face downward. tungkup-telentang every which way (downward and upward facing).
tungkus	1. parcel, package. 2. immersed.
tunjal	receive support or subsidy.
tunjang	1. receive support or subsidy. 2. (m) leg.
tunjangan	1. 1) support, aid. 2) subsidy. 3) alimony. 2. a kick.
tunjuk	1 index finger. 2 show s.t.
tunjukan	indication.
tunjung	lotus tree.
tuntas	complete, total, thorough.
tuntun	1. guide. 2. (m) close o.'s eyes.
tuntunan	guidance.
tuntung	1 point ( of needle, etc.). 2 small box or case.
tuntut	1 demand. 2 (leg.) prosecute, sue. 3 strive for.
tuntutan	1 demand. 2 striving, pursuit. 3 (leg.) indictment, claim.
tunu	roast in a fire.
tupai	squirrel. tupai-belang striped squirrel. tupai-cerlih k.o. small squirrel. tupai-kerawak k.o. large squirrel with reddish fur.
tupai-tupai	clamps on a boat.
tupang	see topang 1.
tur	1 tour (of inspection, etc.). 2 organized travel.
tura-tura	(m) 1 get very angry, go into a rage. 2 talk in o.'s sleep.
turba	(turun ke bawah) 1 visit by officials to villages (in the 1960s). 2 trend (among political leaders).
turbin	turbine.
turi	sesbania, ornamental shrub or small tree with white or red pealike flowers.
turih	see toreh.
turis	1. tourist. 2 notch, scratch.
turisme	tourism.
turki	turk, turkish, turkey.
turnamen	tournament.
turne	1 tour, esp. on official business. 2 go on tour (for business, work, etc.).
turnoi	tournament.
tursa	(turun ke desa) trend (among political leaders) to maintain channels of communication with the rular people.
tursina	sinai.
turun	1 go down, descend. 2 decrease, decline. 3 befall, descend upon. 4 set (of sun). 5 (coll.) dance. 6 move from o. place to another (of respected persons). 7 take a break.
turun-tangan	1 meddle, interfere. 2 lend a hand.
turun-temurun	1 hereditary. 2 for generations.
turunan	turunan
turus	1 pillar, post, stake. 2 numerical classifier for long narrow objects.
turut	join in. turut campur interfere. turut-serta go along with, participate
turut-turutan	accommodating, merely following others.
turutan	turutan
tus	sound of whizzing (bullets, etc.).
tusam	see kayu 1.
tuslah	1 extra allowance, wage supplement. 2 excess fare, extra charge on tickets.
tusor	/tussor/ k.o. fabric.
tustel	camera.
tusuk	1 a pin. 2 stick, skewer.
tusukan	1 a stab, a prick. 2 puncture. 3 a bite, a twinge.
tutor	tutor.
tuts	1 mechanical buttons. 2 piano key.
