sadistis	sadistic.
sekoneng	beveling in a piece of wood so that it fits into another.
sekongkol	1 be an accessory. 2 scheme, plot with.
sekonyong-konyong	sudden, suddenly.
sekop	see skop.
sekopong	(cord., coll.) spade suit.
sekores	see skors.
sekorsing	see skorsing.
sekoteng	(java) ginger-flavored drink served hot.
sekout	see sekaut.
sekr.	[sekretariat] secretariat.
sekresi	secretion.
sekretaresse	woman secretary.
sekretariat	secretariat.
sekretaris	secretary
sekring	fuse for electric circuit.
sekrop	1. scrub floor with soap and water. 2. see skop.
sekrup	screw, bolt.
seks	sex, sexual activity.
seksama	accurate, exact, thorough
seksi	1. 1) (biol.) dissection. 2) section. 3) platoon. 2. (coll.) sexy.
seksofon	/seksopon/ see saksofon.
sekstan	sextant.
seksual	sexual.
seksualitas	/seksualitet/ sexuality.
seksuil	see seksual.
sektaris	sectarian.
sektarisme	sectarianism.
sekte	sect.
sektor	sector.
sektoral	by sector.
sekubit	1 pinch s.o. 2 tap s.o. on the arm or shoulder to attract his attention.
sekuens	sequence (in movie).
sekularis	secularistic.
sekularisasi	secularization.
sekularisme	secularism.
sekuler	/sekulir/ secular.
sekunar	see sekonar.
sekunder	secondary.
sekuriti	(mill.) security, security forces
sekuteng	see sekoteng.
sekuter	see skuter.
sekutil	a nibble, tiny piece.
sekutu	1 partner. 2 ally.
sekyuriti	see sekuriti.
sel	1 cubicle, cell (in prison, etc.). 2 (tech.) cell. 3 (pol.) political cell.
sela	1. 1) crack, opening, gap. 2) interval. 3) interrupt. 4) catch crop, auxiliary crop. 2. mixture. /se`la/ 1 saddle. 2. stone. 3. squinting.
selada	lettuce.
seladang	k.o. wild ox.
seladri	see selederi.
selagi	1 during, while. 2 as long as.
selai	jelly, jam. selai-kacang peanut butter.
selain	1 be sides, in addition to. 2 except.
selaju	see laju.
selak	1. bolt, bar to hol door closed. 2. (java) have to do s.t. immediately without delay.
selakangan	crotch.
selakarang	(java) k.o. medicinal preparation.
selaku	1 as if, like. 2 as, in the capacity of. selaku-nya whatever sells.
selalu	always.
selam	1. dive. 2. (coll.) islam.
selama	during, while, as long as.
selama-lamanya	1 forever, for good. 2 at the longest.
selamat	1 safe. 2 welfare, happiness, prosperity. 3 happy, pleasant, blessed. 4 congratulations, wish for good luck, happiness, or prosperity.
selamatan	ceremonial meal.
selamba	(lit.) rude, uncivilized.
selampe	1 scarf, kerchief. 2 handkerchief.
selampit	braid.
selan	sri lanka.
selancar	see lancar.
selandia-baru	new zealand.
selang	1. interval, break. 2. see slang 1.
selangka	see tulang.
selangkang	/selangkangan/ groin.
selanjutnya	furthermore.
selap	possessed.
selapan	(java) 35 days.
selapanan	ritual conducted when a baby is 35 days old.
selaput	1 (anat.) membran, film. selaput-mata cornea. selaput-dara hymen. selaput-jala retina. 2 coating.
selaputan	coating, casing.
selar	k.o. mackerel.
selaras	see laras 1.
selasa	tuesday. selasa-kliwon tuesday that coincides with kliwon, first day of java week, considered a sacred day.
selasar	open veranda.
selasih	basil.
selat	1 strain, narrows, sound.
selatan	south.
selawat	(islam) invocation, short prayer us. consisting of verses from the koran.
selawe	(java) 25.
selayang	a little breeze, a passing breeze.
seldri	see selederi.
sele	see selai.
selebaran	leaflet. selebaran-gelap illegal and unsigned leaflet.
selebihnya	rest, remainder.
selebor	see slebor.
selebu	see laut.
selederi	celery.
seleguri	k.o. small bush.
selejang	see lejang.
selek	see selak 2.
selekeh	stain, spot.
selekoh	1 a bend. 2 bastion, work in fortress that throusts outward.
seleksi	selection.
selektif	selective.
selembubu	turbulence, tornado.
selempada	k.o. large red ant.
selempang	afraid, frightened.
selempangan	banner.
selendang	shawl or stole worn over o. shoulder or diagonally across body.
selender	see silinder.
selenger	(auto.) crank.
selentang-selenting	rumor.
selentik	see slentik.
selentingan	in passing, incidentally.
seleo	see keseleo.
selep	irony.
selepa	cigarette case, betel box.
selepetan	slingshot.
selera	1 appetite. 2 taste. 3 lust, desire.
selerang	skin, hide.
selesa	1 space, room. 2 opportunity, occasion. 3 wide.
selesai	1 finished, done. 2 done and over with, paid off (of debt), finished (of quarrel).
selesma	a cold sniffles.
seletuk	see celetuk.
selewir	see seliwer.
self-kritik	self-criticism.
selibat	celibate.
selidik	1 accurate, careful. 2 critical, observant.
seligi	javelin.
seligit	swarm, swarm over.
selimut	blanket. 2 comouflage, cover.
seling	interspace, interval.
selingan	1 interlude, s.t. put in between. 2 variation from the routine.
selingkar	see lingkar.
selingkuh	(java) dishonest, corrupt.
selingkung	see lingkung.
selipan	slip (in magazine, etc.).
selir	1. mistress, concubine.
selira	see selera 2.
selisih	1 difference. 2 quarrel, dispute.
selitan	space between two objects.
seliwar-seliwar	to and fro.
sellis	cellist.
selo	cello.
seloka	archaic short witty poem ending in an aphorism.
selokan	1 gutter, drain. 2 sewer. 3 ditch.
seloki	see sloki.
selompret	1. mild swear word. 2. see slompret 1.
selon	/selong/ ceylon.
selongsong	1 cover. 2 a muzzle (dog). 3 shell of bullet.
selonjor	in a position with o.'s legs stretched forward.
selop	1. slipper, sandar with closed roes. 2. see slof.
seloroh	1 funny, amusing. 2 joke, witty remark.
selot	bolt or lock.
selotip	cellophane tape.
selsius	celsius.
seluang	k.o. freshwater fish.
seluar	(lit.) trousers.
selubung	1 cover, veil. 2 wrapper. selubung-anak (biol.) placenta.
selubungan	covering, wrapping.
seludang	sheath or spathe of inflorescence of palm tree.
seludup	see selundup.
selujur	see selonjor.
seluk	curve, bend, coil.
seluk-beluk	1 details. 2 complications.
seluler	(biol.) cellular.
selulosa	/selulose/ (chem.) cellulose.
selulup	dive, plunge.
selumbar	wood splinters.
selumur	snakeskin that has been shed.
selundupan	things that are smuggled.
selungkang	fake (of metal).
selungkap	detached, worked loose (of skin, etc.).
selunjur	see selonjor.
selup	1 (naut.) sloop. 2. see celup.
selupat	see selaput.
seluruh	entire, whole.
seluruhnya	all of it.
selusuh	1 slide. 2 s.t. to ease childbirth (lit., s.t. to make the child slide out).
selut	mud, ooze.
selwagon	patrol wagon.
selwir	see seliwer.
sema-sema	a cold, sniffles.
semacam	a certain kind.
semadi	1 meditation. 2 meditate.
semah	an offering to guard against demons.
semahan	a religious offering.
semai	seedling.
semak	1. bushes, underbrush. semak-belukar underbrush, scrub. 2. feeling comfortable, at o.'s ease. 3. /se`mak/ see simak 1.
semakin	more and more.
semalam	1 last night. 2 o. night.
semalu	see simalu.
semampai	slender.
semampu	as much as (one) is able.
seman	1 failed. 2 aborted.
semanak	jovial, friendly.
semandan	bridesmaid.
semandera	pennant at the stern of a boat.
semang	1 adoptive mother. 2 female employer. 3 landlady.
semangat	1 test, spirit, enthusiasm, have enthusiasm. 2 soul, spirit.
semanggi	1 edible herb with trifoliate leaf. 2 (java) dish of vegetables steamed with spices.
semangka	watermelon.
semangkin	more and more.
semantik	semantics.
semantis	semantic.
semaput	(coll.) 1 unconscious, fainted. 2 have a fit.
semar	chief of the servants of the pandawas in wayang.
semarai	cracked, broken, damaged.
semarak	1. 1) shine, luster. 2) ornament. 3) shining, glittering. 2. bright, lively, lustrous.
semasa	1 during the time, at the time when. 2 comtemporary.
semasih	when.
semat	pin, peg, hook.
semata-mata	only, nothing other than.
sematan	appendix to a book.
semaunya	as o. likes it. semau-maunya at will, as o. likes.
semayam	lie down, lie.
sembab	swollen (of facial features from physical or emotional fatingue).
sembabat	fitting, matching.
sembada	capable, able to carry through.
sembah	1 respectful greeting (made with palms together. fingertips upward and touching the deepest respect. 3 words, saying (to king, etc.).
sembahyang	(rel.) prayer service, prayer. sembahyang-asar (islam) afternoon prayer (3-5 p.m.). sembahyang-doha (islam) optional muslim prayer performed before noon. sembahyang -isa/asya (islam) eveningprayers.
sembam	swollen in body or face.
sembap	see sembab.
sembarang	of any kind, no particular o.
sembarangan	1 at random. 2 just anyone, anything.
sembari	while.
sembat	see sebat 1.
sembayan	(m) co-wife, woman married to same man as another.
sembelihan	an animal to be slaughtered, slaughtered animal.
sembelit	1 constipation. 2 constipated.
sember	raucous, hoarse, cracked (voice).
semberani	see sembrani.
semberono	see sembrono.
semberut	scowl.
sembilan	nine. sembilan-belas 19. sembilan-puluh 90.
sembilang	k.o. fish with poisonous spines.
sembilik	see puru.
sembilu	blade of split bamboo (traditionally used to cut umbilical chord).
sembiluan	having the cutting quality of a bamboo knife.
sembir	edge, margin.
sembiran	margin, suburb.
sembirat	tinge of color.
sembodo	see sembada.
semboja	see kamboja.
semboyan	1 slogan, motto, catchword. 2 sign, signal.
sembrani	see kuda, besi.
sembrono	doing things any way that comes to o.'s head, at random, not in accordance with the rules of society.
sembuang	(naut.) mooring buoy.
sembuh	recover, heal.
sembunyi	1 hidden, concealed. 2 hide.
sembur	spittle, esp. when sprayed as a charm to cure s.o.
semburan	1 outpouring, spraying out. 2 scolding.
semburat	1 tinge. 2 disperse.
semburit	sodomy.
semedi	see semadi.
semek	soggy.
sememeh	soiled, dirty.
semen	cement. semen-bata/merah pulverized bricks. semen-beton concrete.
semena	see mena.
semenanjung	(geog.) peninsula.
