bedel	(coll.) surgical operation.
bersamaan	1. 1) be equal to e.o. 2) be in conformity with. 3) resembling, similar. 2. do simultaneously.
bersamak	covered, plated.
bersambut	1 answered. 2 parried, intercepted.
bersambutan	1 respond to e.o. 2 be in accordance.
bersandar	1 lean on. 2 (naut.) moor, tie up (ship). 3 be dependent on, be based on.
bersanding	1. sit in state (of bride and groom at marriage ceremony). 2. 1) angular. 2) sharp, biting.
bersangkal	be unwilling.
bersantap	1 dine (of royalty). 2 have a meal (written or formal speech).
bersara	1 share. 2 pensioned.
bersarang-sarang	be full of holes.
bersarung	1 wear a sarong. 2 sheathed.
bersatu	allied, united.
bersaur	interlocking, entangled.
bersedia	1 be ready, prepared. 2 disposed (to), willing.
berseka	rub o.s. clean.
berselekeh	berselekeh
berselendang	wear a shawl or stole.
berselera	1 have appetite, feel like. 2 attractive, appetizing. 3 have a taste for.
berselimpatan	sneak away (in numbers).
berselimpetan	crowd, press together.
berselimut	1 covered over. 2 camouflaged.
berselimutkan	covered with.
berselindung	be hidden, hide o.s.
berseling	take turns, alternate.
berseliran	murmur (of a breeze).
berselirat	confused.
berselirkan	have s.o. as a concubine.
berselisih	1 be at certain interval in time or space. 2 quarrel, disagree, be at odds with.
berseliweran	crowd, mill about.
berseloka	recite or compose such a poem.
berselonjor	with outstretched legs..
berseloroh	joke, crack jokes.
berselulup	dive, plunge.
berseluncur	move with gliding action.
bersemangat	1 conscious. 2 enthusiastic, energetic.
bersemarak	radiant, splendid.
bersemayam	reside, sit (of royalty).
bersembahyang	pray, worship.
bersemboyankan	have as a slogan.
bersembulan	emerge, appear partially.
bersemburit	engage in sodomy.
bersemedi	meditate.
bersemi	sprout.
bersenam	1 do physical exercises. 2 stretch (after resting).
bersenandung	hum.
bersenang-senang	enjoy o.s., have a good time.
bersenapan	have a rifle.
bersenda	joke.
bersendawa	belch.
bersendi	hinged on, based.
bersengat	have a stinger.
bersenggama	have coitus.
bersenggang-senggang	relax, pass o.'s free time.
bersenggayut	swing o.s. while hanging from the arms, dangle.
bersenggolan	touch e.o.
bersengit	feel bitter.
bersengkarut	intertwined, interlaced. 2 confused.
bersengketa	have a legal dispute.
berseni	artistic.
bersenjatakan.	armed with s.t.
bersentosa	peaceful, safe.
bersentuhan	have contact with, touching e.o.
bersep	acknowledge as o.'s superior.
bersepadanan	be in harmony, go together.
bersepatu	shod, wear shoes.
bersepeda	bike.
berserah	surrender.
berserakan	be scattered around.
berseranggung	sit bent forward.
berserat	fibrous.
berseri	shine, beam.
berseri-seri	beam, gleam.
berseru	call, shout out.
berserudi	ground, polished (precious stones).
bersesah	(bertinju) (m) have a violent fight.
bersespan	with a side-car.
bersesuaian	be in mutual accord.
bersetru	hostile.
bersetubuh	have sexual intercourse.
bersetuju	1 have o. and the same aim or purpose. 2 agree.
bersewaka	pay homage, honor.
bersiaga	be on the alert.
bersialang	1 swarm (of bees). 2 gather honey.
bersiap	1 get ready, get prepared. 2 (sport) on your mark.
bersiar-siar	stroll about.
bersiaran	broadcast, be on the air.
bersiasat	1 be full of stratagems, investigative plans, etc. 2 have s.t. as a strategy.
bersibak	parted, separated.
bersiborok	meet for an instant (of eyes, glance).
bersidang	convene, sit in session.
bersidekap	fold o.'s arms over o.'s chest.
bersifat	have the quality, character(istic).
bersigap	be in readiness.
bersih	1 clean, neat. 2 innocent. 3 pure, unadulterated. 4 net.
bersijingkat	stand or walk on tiptoe.
bersijundai	sing as though out of o.'s mind.
bersikap	1 have a certain attitude. 2 (mil.) stand at attention.
bersiku	have an angle or curve.
bersil	mem-bersil protrude.
bersila	sit wit the legs crossed.
bersilang	1 crossed. 2 piled up in a crisscross way.
bersilat	1 engage in such self-defense. 2 mime the actions of self-defense.
bersilih	turn, change into.
bersimak	gather, group.
bersimbah	be drenched, bespattered.
bersimbur	1 splash up on. 2 be partially enveloped by s.t. similar to waves.
bersimpati	sympathetic.
bersimpuh	sit with the knees bent and folded back to o. side.
bersin	sneeze.
bersinambung	continuous, serial.
bersinar	shine.
bersinjak	(lit) step by step.
bersiram	1 be cascaded (eith water, liquid). 2 (lit.) bathe (of royalty).
bersiring	have a hem.
bersisa	remain, be left over.
bersisalak	(coll.) be cantankerous, prone to fits of anger.
bersisian	side by side.
bersisik	scaly.
bersisipan	have an insert.
bersisipkan	have a certain thing inserted in it.
bersisir	1 use a comb. 2 combed.
bersit	se-bersit 1 a burst of. 2 a little of.
bersitegang	1 persevere. 2 be stubborn, insist uncompromisingly.
bersitelekan	rest both hands.
bersitinjak	(lit.) step by step.
bersiul	whistle (of people, trains, etc.).
bersiur	make a rustling sound.
bersiuran	rustle, whistle (of many things).
bersiut	produce a sizzling or whistling sound.
bersobok	encounter, fall in with.
bersolat	perform such ritual prayers.
bersolek	1 apply o.'s make up. 2 dress up (of women).
bersomplok	/bersompok/ run into, meet unexpectedly.
bersongsong	1. carry or use the royal umbrella. 2. go out against s.t.
berspekulasi	1 speculate, conjecture. 2 undertake a risky venture.
bersua	1 meet, run into. 2 meet up with, find.
bersuai	fitting, appropriate.
bersuara	1 have a voice. 2 produce a sound. 3 (ling.) voiced.
bersubang	wear ear-plugs.
bersuci	1 live a pure life. 2 cleanse o.s. of impurities. 3 (islam) cleanse o.s. after defilement (defecation, giving birth, sexual congress, etc.).
bersugi	1. use a toothpick. 2. have a tobacco quid in the mouth.
bersuit	whistle, esp. with o.'s fingers in the mouth.
bersuji	have embroidery on it.
bersujud	1 perform this bow. 2 admit o.'s humble station.
bersukacita	rejoice.
bersukaria	be happy, celebrate.
bersukat	measured by this measure.
bersulamkan	1 embroidered with s.t. 2 be added to with s.t., sprinkled with s.t., laden with (additions).
bersulang	1. be dirty with soot. 2. (lit.) give e.o. food or drink.
bersulap	1. engage in conjury. 2 find a defect in the weaving.
bersuling	1. play the flute. 2.(m) tumbled upside down.
bersuluk	retreat from the world.
bersulur	spiral, climb upward.
bersumber	have (as) a source, be based (on).
bersumberkan	have s.t. as its source.
bersumpah	swear, take the oath.
bersundut	hereditary.
bersungkup	be covered.
bersungut-sungut	grumble, complain.
bersurai	break up, disperse.
bersurat	1 written, inscribed. 2 (lit.) compose a letter.
bersurih	ruled, lined.
bersusila	have good morals.
bersusuk	1 insert a small piece of gold (for medicinal or magical purpose). 2 wear a hairpin.
bersusun	1 stacked (o. on the other). 2 in layers, stories or rows.
bersut	draw lots, play paper-rock-scissors.
berswadaya	do s.t. on a self-supporting basis (i.e. without outside funds).
bersyair	1 write poetry, poetize. 2 recite poetry.
bersyarat	conditional.
bersyukur	1 thank god. 2 (coll.) be grateful.
bertabiat	be of a certain character or behavior.
bertabik	extend a greeting.
bertabir	1 be separated by a screen. 2 be in disguise.
bertablig	preach at such meetings.
bertabrakan	collide.
bertaburan	scattered, spread.
bertaburkan	be spread over with s.t.
bertadah	use a receptacle or reservoir.
bertafakur	1 be reflective. 2 observe silence out of respect for a.o.
bertagar	thunder and rumble.
bertahak	belch.
bertahan	hold out.
bertaji	with the spur on.
bertajuk	have (a topic) as an editorial.
bertakak	formed by sewing ends together.
bertakbiran	engage in such recitation.
bertakhta	reign.
bertaksi	ride a taxi.
bertakuk	notched.
bertakwa	pious.
bertalar	1 think logically, reason. 2 deliberate a problem.
bertali	equipped with a rope, with a rope attached.
bertalian	1 tied to e.o. 2 related. 3 relevant, germane.
bertalu	play this opening melody or gong.
bertalu-talu	continously, incessantly.
bertalun	resound.
bertam	1. k.o. palm. 2. k.o. bird, malayan black wood partridge.
bertamadun	1 civilized. 2 cultured, refined.
bertamasya	go on an excursion, go sight-seeing.
bertambah	1 increase. 2 increasingly, more and more.
bertambah-tambah	1 increase steadily. 2 all the more so.
bertambal	patched.
bertambal-tambal	be patched all over.
bertambalkan	have as a patch.
bertambat	tethered, tied up.
bertambatan	connected with.
bertambuh	have another serving of rice.
bertambul	1. 1) served with a light snack. 2) enjoy refreshments. 2. (thea.) do theatrical stunts (magic shows, farces, etc.).
bertambur	beat a drum.
bertameng	1 shelter or protect o.s. behind a shield. 2 use s.t. as a pretext.
bertamu	1 visit. 2 be a guest.
bertanah	1 take root. 2 put down roots, own land.
bertanak	boil rice.
bertanam	engage in planting or cultivating.
bertanda	1 marked, labeled. 2 signify.
bertandak	perform such a dance.
bertandang	visit, make a social call.
bertandatangan	signed.
bertanding	1 be the equal of, match. 2 compete. 3 fight a duel.
bertandu	ride in a sedan chair.
bertanduk	horned.
bertangan	have hands.
bertangas	take a steam bath.
bertangga	with steps.
bertangga-tangga	1 gradually, by degrees, step by step. 2 terraced, graduated.
bertanggal	dated.
bertanggam	dovetailed.
bertanggang	(m) refrain from a normal activity.
bertangguh	1 postpone, put off. 2 hesitant, reluctant.
bertanggungjawab	be responsible, be liable.
bertangkup	1 close (of two sides uniting). 2 fall face downward.
bertani	engage in farming.
bertanjak	rise in a sloping manner.
bertanya	ask a question.
bertanya-tanya	1 repeatedly ask. 2 wonder, be quizzical.
bertapa	1 live as an ascetic. 2 isolate o.s. (to meditate, to acquire magical power, etc.). 3 (coll.) imprisoned.
bertapak	1 step, tread on. 2 have an underlayer. 3 have a foot hold.
bertapakkan	be based on, supported.
bertaplak	covered with a tablecloth.
bertapuk-tapuk	1 heavily pockmarked. 2 have a bad reputation.
bertara	matching.
bertarah	planed.
bertarak	abstain.
bertaruh	1 bet, wager. 2 bet s.t.
bertaruk	sprout.
bertasbeh	tell o.'s beads.
bertatahkan	inlaid, studded.
bertatih	toddle along.
bertauhid	acknowledge the o.ness of god.
bertaut	1 fit togheter. 2 fuse, become one.
bertautan	be linked with, related to.
bertawakal	place o.'s trust in god.
bertebaran	spread around, scattered about.
berteduh	take shelter.
berteduhkan	make a shelter of s.t.
berteguh	1 hold to, be firm in. 2 strengthen o.s.
berteguran	address e.o.
bertegursapa	be on speaking terms.
berteka-teki	1 play riddles. 2 ask a riddle.
bertekad	(hati) be determined, be bent on.
bertekan	lean on.
bertekanan	exerting pressure.
bertekap	bertekap
bertekuk	folded roughly, crumpled.
bertekun	1 be diligent. 2 hold fast, adhere to.
bertekur	with head bowed.
bertelanjang	be naked.
