kreda	see krida.
langu	1 rotten (of odor). 2 unpleasant (of taste).
langut	me-langut sad, melancholy.
lanja	me-lanja go on a visit.
lanja - lanjaan	go anywhere.
lanjai	slim, slender.
lanjam	plowshare.
lanjang	1. slender. 2 see telanjang.
lanjar	long and tapering.
lanjaran	bean, pole, trellis.
lanjirat	court of law.
lanjung	1 small and slender (of sugarcane, etc.). 2 tall, high.
lanjur	protracted, stretched, dragged out.
lanjut	1 advanced. 2 long, detailed. 3 continue, continued.
lanseng	reheat by steaming.
lanset	(med.) lancet.
lansir	1. 1) launch s.t. 2) spread, distribute (news, etc.). 2. see langsir.
lanskap	see landskap.
lantai	1 floor. 2 story (of a building).
lantak	piston, pile.1 hammer s.t. 2 ram, drive (a pile).
lantam	1 proud. 2 haughty, arrougant. brag, boast of s.t.
lantamal	[pangkalan utama angkatan laut] first-class naval base.
lantan	me-lantan 1 spoil s.o. 2 care for (o.'s body). 3 economize on (clothing by wearing poorer quality).
lantang	1 shrill, piercing (voice). 2 clear, distinct (of voice, view).
lantar	1. ter-, te-lantar neglected. 2. see pelantar.
lantaran	1) reason. 2) (coll.) because.
lantas	1 straightaway, directly, forthwith, then. 2 and so ?
lantera	see lantera.
lantik	install, inaugurate.
lanting	1) thrown, tossed. 2) no longer useful, useless.1 slingshot. 2. hold out at arm's length.
lanting-lanting	platform at river bank (for bathing and laundering).
lantun	me-lantun 1 rebound (of a ball, spring). 2 reflect. 3 ricochet.
lantung	1. putrid, stinking (odor). 2 1) aloud bang. 2) verbose. 3.nge-lantun laze about, do things without purpose.
lantur	me-lantur-kan divert, distract s.o.
lanuma	[pangkalan utama] main base.
lanun	pirate.
lanut	[pangkalan udara] air base.
lanyah	muddy.
lanyak	me-lanyak 1 trample down (earth). 2 step on, run down, disparage (s.o. or s.t.). 3 hit hard.
lanyau	soft mud (with a hard crust).
laos	galingale, aplant of the ginger family.
laoteng	see loteng.
lap	1 towel. 2 rag.
lap-lapan	(sl.) be in love.
lapad	see lafadz.
lapah	me-lapah 1 skin, flay, dress (an animal). 2 devour.
lapal	see lafadz.
lapan	(coll.) see delapan.
lapang	1 open, wide, spacious. 2 free, unoccupied. 3 roomy.
lapangan	1 field, square. 2 sphere, range (of activity).
lapar	1 hungry. 2 hunger.
lapat-lapat	(java, jakarta) 1 vague, barely visible. 2 barely audible.
lapaz	see lafadz.
lapih	see lapis.
lapik	1 base, underlayer. 2 lining. 3 mat.
lapis	1 layer, lining. 2 row. 3 (geol.) stratum. 4 in layers.
lapor	report.
laporan	1report, occount. 2 statement.
lapuk	1 moldy, putrefied, mildewed. 2 rotten, decayed (of wood, etc.), weakened. 3 obsolete, out-of-date (regulation, etc.).
lapun	trap.
lapur	1. twitch, flutter (of a bird, etc.) 2. see lapor.
lara	1 ill, sick. 2 painful.
larang	1 forbid, prohibit, ban. 2 interdict.
larangan	1 prohibition, ban, interdiction. 2 embargo. 3 (ling.) prohibitive.
larap	in demand, selling.slacken, pay out ( arope).
laras	1. 1) pitch, key, scale. 2) harmonym, harmonious. 2. 1) barrel (of rifle, cannon, etc.). 2) classifier for rifles. 3) straight and cylindrical. 3. (m) district.
larat	1. 1) be protracted, be drawn out (of an illness). 2) drag (of anchor). 3 wander. 2. k.o. moluccan orchid. 3. see melarat.
lari	1. run. 2 escape, leave.
larih	(lit.) drink together.
larik	1. row, line.1 turn on a lathe. 2 bore, drill (a hole) in.
laring	(anat.) larynx.
laringektomi	laryngectomy.
laris	popular, in demand, selling well.1 the first item sold in a work day, throught to stimulate later sales. 2 s.t. that sells well, best seller.
laron	flying white ant.
lars	boot, esp. military boots.
laru	(java) fermenting agent added to make vinegar.
larung	(java) float (esp. of offering, corpses).
larut	1. 1) soluble. 2) fused, dissolved. larut-an (chem.) solution. 2. 1) protracted. 2) late, far-advanced (of night).
las	weld, joint.
lasa	1 numb (of o.'s limbs). 2 paralyzed. 3 callus on the sole.
lasah	1. spread flat (mat, fish for drying, etc.). 2. everyday clothes, work clothes.
lasak	1. 1) restless, restive, fidgety. 2) energetic, hyperkinetic (of a child). 3) peevish, petulant. 2. see lasah 2.
lasat	(m) serious (of illness).
laskar	1 (lit.) pre-modern soldiers. 2 paramilitary troops,guerilla-fighters.
laso	lasso.
lastik	see elastik.
lasykar	see laskar.
lat	1. 1) interval. 2) the space between planks. 2. late. 3. lath.
lata	1. 1) humble, degrading. 2) dirty, ugly. 2. see latah 1.
lataboga	(lit.) herbivore.
latah	1. 1) a nervouse condition characterized by erratic involuntary imitative behavior, often pornographic or socially disapproved. 2) (coll.) other irrational imitative behavior (e.g. imitation of speech, etc.). 3) madly in love. 2. piles of leaves, etc.
latak	residue (in oil or paint).
latam	solid, compact.
latang	see jelatang.
latar	(java) 1 yard. 2 surface, plane. 3 background, backdrop.
latat	see melatat-melotot.
lateks	latex.
laten	latent.
latif	1 fine, handsome. 2 gentle, delicate.
latih	accustomed, wont.
latin	1 latin. 2 roman 9type, letters).
lattah	see latah 1.
latuh	edible seaweed.
latung	1 petroleum. 2 kerosene.
latur	1 blistered. 2 blister.
laturahmi	(islam) having close personal relationships.
lauh	see loh 1.
lauk	side dish, esp. meat or fish served with rice.
laun	dawdle, procrastinate, dally.
laung	loud voice or sound.
laur	bent, curved.
laut	sea, ocean.
lawa	1. crossbeam. 2. small bat. 3. /lawah/ vast, extensive (of view).
lawa-lawa	/lawah-lawah/ see labah-labah.
lawai	thread for weaving.
lawak	1. joke, jest, gag. pelawak comedian, jokester. 2. feeding trough. 3. see temu 1.
lawalata	(coll., ambon) ber-lawalata trek on foot, walk a considerable distance.
lawamah	see nafsu.
lawan	1 opponent, adversary, rival. 2 enemy, foe. 3 (leg.) respondent. 4 the contrary, the opposite. 5 against, versus.
lawang	1. door, gate. 2. 1) mace. 2) clove flowers.
lawar	slice of meat or fish.
lawas	1. 1) long (time). 2) old. me-lawas no longer bearing (of fruit tree). 2. see luas.
lawat	1 paya a visit. 2 make a trip. 3 (coll.) make a visit of conolence.
lawe	1 yarn, thread. 2 cotton waste. lawe-an place where thread is being woven.
lawean	k.o. headless ghost.
lawi,lawi-lawi	long tailfeather.
lawon	(java) white cotton. lawon-tenun woven material.
layah	1. veil. 2. bend over backward, bow. 3. flat-edged metal plate. 4. see layap.
layak	1 proper, suitable. 2 reasonable, fair (price). 3 like.
layan	1 serve, wait on (guests), take care of (customers). 2 supply. 3 man. 4 service.
layang	1. 1) kite. 2) k.o. bird, swift. 2. cut s.t. in half (e.g. mango, etc.).
layap	1. low (close to the surface). 2. doze, nod.
layar	1. 1) sail. 2) screen (tv or movie). 3) blind, shade (of window, door). 2. see ikan.
layat	make a visit of condolence.
layu	1 withered, faded, wilted (of flowers). 2 weak, pale.
layuh	1 paralyzed. 2 weak, feeble, debilitated.
layuk	sway (to the left or right).
layur	me-layur 1 singe, scorch s.t. 2 sear s.t.
lazat	see lezat.
lazim	1 usual, customary, common. 2 compulsry, obligatory.
lazuardi	1 lapis lazuly. 2 azure.
lbh	[lembaga bantuan hukum] legal aid services.
lbr.	[lebar] wide, width.
le	see tole.
leak	see leyak.
lebah	bee. lebah-laut k.o. jelly fish.
lebai	1 mosque official. 2 mosque servant.
lebak	1. 1) valley. 2) lowlands. 2. sound of a slap.
lebam	sound made by a falling object. /le`bam/ k.o. small edible fish.
leban	1. 1) lead-colored. 2) (med.) hematoma. 2. k.o. tree whose bark and leaves are used for medicinal purposes.
lebap	sound of fruit falling to the ground.
lebar	1 broad, wide, extensive. 2 width, breadht.
lebaran	day of celebration at end of fasting month.. lebaran-haji festival celebrated on the 10th day of the 12th islam month.
lebas	whip s.o.
lebat	1 luxuriant, dense (of fruit on trees, hair, etc.). 2 heavy (of rain).
lebe	see lebai.
leber	spill or run over.
lebih	1 more, -er. 2 more than.
lebihan	1 excess, surplus. 2 remainder.
lebu	dust.
lebuh	broad road.
lebuk	1. sound of a stone hitting the ground. 2. loose (of soil). me-lebuk (tanah) loosen (soil).
lebum	sound of a thud.
lebun	deceit, fraud.
lebur	1 smelted. 2 dissolved, melted. 1 melt, fuse. 2 destroy, wipe out. 3 merge.
lecah	1 muddy. 2 glutinous.
lecak	1. muddy, slushy, miry. 2. plain, ordinary (of faces).
lecap	see basah.
lecat	1. raw (of throat). 2. see licin.
leceh	1. sloppy, unkempt (of dress). 2. talkative. 3. vile.
lecek	1 disheveled, unkempt. 2 crumpled (of paper, etc.). /le`ce`k/ worn (of locks, latches, etc.).
lecet	1. chafed. 2 blister (on foot, etc.). 3 scratched.
leci	the lychee fruit and tree.
lecit	1 slip away. 2 ooze through.
lecit-lecit	snap fastener.
leco	dwarf, midget.
lecok	very slick.
lecot	see lecut.
lecuh	shriveled up (of cooked vegetables).
lecup	sound of a kiss.
lecur	1. sound of a whip's lash. 2. blister.
ledak	1 explode (of a bomb, etc.). 2 erupt (of a volcano). 3 break out, burst out. 4 (sl.) become a sensation.
ledek	1. (java) 1) k,.o. dance performed at feast by hired dancers joined by honored spectators. 2) such a hired dancer. 2. (jakarta) tease.
ledeng	see leding.
ledes	inflamed, red (of eyes).
leding	me-leding warp, sag (of floors, etc.). /le`ding/ plumbing, running water. tukang-leding plumber.
ledor	see teledor.
ledos	1 explode, burst. 2 collapse.
leduk	me-leduk explode.
ledung	me-ledung bend, give (of a bridge).
lega	1 roomy, open. 2 free, not busy. 3 relieved, free of worry.
legah	see lega.
legak-legok	see lenggak-lenggok.
legal	/lekhal/ legal.
legalisasi	legalization.
legalisir	legalize.
legalistis	legalistic.
legalitas	legality.
legam	(lit.) black.
legar	1 take turn. 2 revolve, circle about.
legasi	legation.
legat	straight, fixed.
legen	(java) unfermented toddy.
legenda	1 legend, myth. 2 legend (on maps, etc.).
legendaris	legendary.
leger	/lekher/ ledger. /le`ge`r/ 1 floor joist. 2 wine vat.
legi	(java) the first day of the five-day week.
legion	1 legion. 2 association.
legislatif	legislative.
legit	(sunda) 1 sweet. 2 sticky.
legitimasi	legitimation.
legitimir	me-legitimir legitimatize.
legiun	see legion.
lego	release.
legojo	see algojo.
legok	1 concave. 2 dented. 3 pothole.
legong	k.o. balinese dance by young girls.
legu	plait (rug, mat).
legundi	k.o. shrub.
legung	k.o. tree.
leha	/lehah/ careless, inattentive. (ber)leha-leha (coll.) take it easy.
leher	neck. leher-baju collar. leher-botol neck of bottle. leher-rahim cervix.
leja	me-leja 1 reprimand. 2 abuse, revile.
lejang	1 fast, swift. 2 flash. 3 (sport) lap.
lejat	1. me-lejat flip (of a fish). me-lejat-lejat flip-flop, writhe. 2. see lezat.
lejit	me-lejit 1 run off, make a dash. 2 increase suddenly, skyrocket.
lek-lekan	(java) all-night get-together.
leka	1 negligent, careless, inattentive. 2 absorbed in, engrossed, lost in thought.
lekah	crack, aperture.
lekak-lekuk	bumpy (of road, ground).
lekak-liku	/lekak-likuk/ 1 with many bends. 2 intricacies (of a plan, etc.).
lekam	hold between thumb and index finger.
lekam-lekum	a loud noise.
lekang	1 cracked (of hard ground). 2 fission. 3 easily separated (fruit from its pit, friends from e.o., etc.).
lekap	ber-lekap embrace, cuddle up (to s.o.).
lekap-lekap	sound of crunching or rattling.
lekar	plaited rattan stand to hold round-bottomed vessels. /le`kar/ 1 reading stand for the koran. 2 lectern.
lekas	1 fast, switft, quick. 2 soon. lekas-an (coll.) hurry.
lekat	sticky, stick.
lekat-lekat	1 adhering, sticking. 2 addicted. 3 close (of friendship).
lekeh	smudge.
lekir	streaky, mottled.
lekit	sticky, viscous.
lekok	curving, winding (of road, etc.).
lekra	[lembaga kebudayaan rakyat] the people's cultural association, a left-wing literary and cultural organization until the mid-1960s.
leksikograf	lexicographer.
leksikografi	lexicography.
leksikostatistik	(ling.) lexicostatistics.
lektor	a rank of university teachers, similar to associate professor.
lektris	see elektris.
lektur	reading matter.
leku	lean on o.'s elbow.
lekuh-lekih	sound of a cough or difficult breathing.
lekuk	1 hollow (in the cheeks), concavity.
lekukan	1 dent. 2 indentation.
lekum	1. see halkum. 2. see lekam.
lekung	1 hollow. 2 curved, bent.
lekup-lekap	sound of cracking o.'s knuckles, snapping sticks in two, etc.
lela	1. smart, jaunty. 2. whim, caprice.
lelabah	spider.
lelabi	k.o. fresh-water turtle.
lelah	tired, weary, worn-out, exhausted.
lelai	droop (of tree branch, etc.).
lelaki	man, male.
lelakon	1 story (in a shadow play). 2 life story.
lelan	k.o. fish.
lelancur	1 half-grown chicken. 2 youngster, young whippersnapper.
lelang	auction.
lelangit	1 palate. 2 house ceiling.
lelap	sound asleep.
lelar	(m) use continually.
lelas	1 smooth (after polisthing). 2 blister, blistered (of skin).
lelatu	spark.
lelawa	cave bat.
lele	k.o. freshwater catfish.
leleh	1 melt (of wax, etc.). 2 calm down.
lelembut	k.o. trouble-making invisible spirit.
lelep	1. (java) 1) submerge, immerse, dip s.t. 2) drown s.o. or s.t. 2. see lelap.
leler	drip with (perspiration).
lelet	(java) nge-lelet very slow.
