maluku	moluccas.
memberi	1 give, bestow. 2 offer, put up. 3 (coll.) let. 4 put on, apply s.t. 5 (coll.) hit, strike. 6 add (in recipes).
memberikan	1 give, hand over. 2 extend, confer.
memberlakukan	put into effect, cause to be effective.
membersut	1 hiss, spit at (of dogs, cats). 2 glate at, glower at.
membetas	1 rip, tear. 2 crack.
membidik	1 peer, look. 2 take aim, draw bead on (by closing o. eye). 3 engage in sharpshooting.
membikin	1 make, build. 2 fix, repair. 3 cast a spell.
membina	1 build, found, construct. 2 develop, cultivate.
memble	1 pout, be sullen. 2 (sl.) ugly, lousy, no good.
memblokir	1 blockade. 2 obstruct. 3 (fin.) freeze (account), stop (check).
membongkar	1 force open. 2 break in. 3 demolish, wreck (building). 4 disclose, uncrate, unpack. 5 unload, discharge (ship). 6 open up, uncrate, unpack. 7 dismantle, disassemble, take apart (engine).
memborong	1 buy up the entire stock, take all of s.t. 2 do an entire job. 3 hold various positions.
membran	1 filter in automobile engine. 2 membrane.
membreidel	1 check, curb. 2 muzzle (critics), close down (press).
membrondong	1 fire a volley. 2 shell, bombard.
membuang	1 throw, cast. 2 throw away, cast off, discard. 3 exile, banish. 4 waste (time. energy, money).
membubarkan	1 disperse s.t., break up. 2 dissolve, liquidate. 3 close down (a factory).
membujuk	1 persuade s.o. 2 trick, cheat s.o.
membujur	1 stretch out. 2 lie alongside. 3 stretch, run. 4 horizontal.
membumbui	1 season s.t. , add spice to s.t. 2 add flavor to s.t. , add color to s.t. (speech, conversation, etc.).
memburu	1 chased after us. 2 pursue (wealth, position).
memecahkan	1 analyze, solve. 2 split. 3 break. 4 destroy. 5 disperse, dissect.
memedi	(java) ghost.
memegang	1 hold, take hold of. 2 handle. 3 control. 4 occupy, hold.
memek	1 whimper, whine. 2 nag.
memelet	1 lick, stick out tongue. 2 flatter, play up to s.o. 3 make s.o. fall in love with o. by magical means.
memelihara	1 take care of, protect. 2 raise, rear. 3 keep, maintain.
memelitur	varnish, polish furniture.
memencet	1 crush, smash. 2 push, press.
memencil	far from everything.
memendam	bury, hide away.
memendamkan	bury, hide away.
memenggal	cut off, cut to pieces.
memengkol	turn, branch off.
mementang	open, extend, spread out.
mementing	pluck strings or make s.t. give off a sound of "ting".
mementingkan	1 emphasize. 2 bring to noice, advance. 3 consider important.
memenuhi	1 fill. 2 fulfill, comply with a request. 3 meet a demand.
memerah	1. redden, become red. 2. 1) squeeze. 2) milk.
memeras	1 press, squeeze. 2 milk. 3 blackmail, put the squeeze on.
memerasi	1 press (many things). 2 squeeze juice on to.
memerdekakan	1 liberate, release, set free. 2 acquit, exonerate, absolve.
memergoki	1 catch by surprise. 2 catch s.o. red-handed.
memeriksa	1 investigate, look into. 2 control, inspect. 3 cross-exampine, interrogate.
memeriksakan	have s.t. examined.
memetik	1 pick flowers. 2 fire (gun). 3 strum, pluck (strings of musical instrument). 4 snap o.'s fingers. 5 quote from a book.
memetiki	pick many things.
memf-	see also entries with f-.
memikat	1 trap birds with sticky substance. 2 attract, be attractive.
memikul	1 carry on the shoulders. 2 shoulder, bear.
memilahkan	sort, classify.
memilin	1 wind. 2 entwine, twist.
memilisikan	draft into the service.
memimpikan	dream of, dream about.
memimpin	lead, guide.
meminang	1 propose, ask in marriage. 2 apply for job.
meminta	1 require, demand. 2 request, ask. 3 propose to.
memintai	request from s.o.
memintal	spin, twine.
memintas	take a short cut.
memintasi	1 intercept, interrupt, cut s.o. short. 2 cut off, block o.'s way. 3 cut in (in traffic).
memites	strush between the fingernails.
memiting	1. hold with forearms, clinch.
memjumput	pick up with thumb and forefinger, get a pinch of.
memoar	memoirs.
memocong	java) wrap in a shroud.
memodulir	(phys.) modulate.
memondong	carry in o.'s arms.
memopong	carry a baby in o.'s arms.
memori	explanatory statement, memorandum.
memoroti	1 gnaw at, bite into. 2 steal.
memotong	1 cut (off), slice. 2 slaughter. 3 operate on, amputate. 4 reduce, cut, deduct wages, abbreviate a word. 5 take a short cut.
memotongi	1 cut s.t. off from. 2 cut many things.
memotret	take a picture, photograph.
mempagelarkan	put on a show, present.
mempajuh	stuff, gorge.
mempaleh	(sunda) take care of a fighting or racing animal.
mempampat	press, squeeze.
mempan	1 be vulnerable. 2 be sensitive to 3 be effective.
mempancal	press down on with foot, step on (the gas).
mempangah	open the mouth in astonishment.
mempangkung	hit with a club.
memparajikan	abort a fetus.
memparani	approach, go to.
memparap	hammer, pound.
mempasah	plane (wood).
mempasung	1 lock legs between two pieces of wood. 2 repress, muzzle (the press).
mempayang	support s.o. in walking.
mempejalkan	press down.
mempelai	bride and/or bridegroom.
mempelajari	1 study carefully, diligently, in depth. 2 study, scrutinize (proposal).
mempelajarkan	1 teach, offer as instruction. 2 teach thoroughly.
mempelam	mango.
mempelantingkan	throw out in all directions.
mempelas	see amplas 1.
mempelitur	varnish, polish furniture.
mempeng	persevere.
mempengaruhi	influence.
mempentangkan	shoot s.t. off, loose (an arrow).
memper	resemble, be similar to.
memperalat	manipulate, treat or use as an instrument.
memperalatkan	1 marry off. 2 arrange a traditional feast.
memperbaiki	1 repair (road, etc.). 2 correct (mistake, etc.). 3 improve s.t., reform. 4 improve upon, break (record).
mempercak	make rushing noise (of water).
mempergunakan	1 use, utilize. 2 make use of, resort to.
memperhatikan	1.pay attention , take not of 2.watch,observe.
memperinciskan	specify.
memperingankan	1 lighten, alleviate. 2 make light of.
memperkalikan	(math.) multiply.
memperlamban	slow (s.o. or s.t.) up or down.
memperlihatkan	show, display, exhibit.
memperlimitkan	1 laminate. 2 fold.
mempermanis	1 make sweeter. 2 make ccuter more attraction.
mempermudah	facilitate, make s.t. easier.
mempersatukan	1 unite, joint, ally. 2 concentrate s.t. on.
mempersembahkan	1. offer or present s.t. to a high personnage. 2 (lit.) inform or report to a royal personnage. 3 dedicate. 4 present a performance.
mempersetankan	damn, send to the devil.
mempersetujukan	bring into line, coordinate.
mempersilakan	invite, ask.
mempersoalkan	1 question s.t. 2 discuss, deal with.
mempersulit	1 complicate s.t., render s.t. difficult. 2 cause difficulties for s.o.
mempertahankan	defend, maintain.
mempertajam	exacerbate.
mempertalikan	1 tie to. 2 link, connect. 3 joint. s.o. (in marriage).
mempertambah	cause s.t. to increase.
mempertandingkan	1 compare s.t. with. 2 put into combat.
mempertanggungjawabkan	account for, justify.
mempertanggungkan	make s.o. responsible for s.t.
mempertanyakan	call s.t. into question.
mempertapakan	achieve through asceticism.
mempertaruhkan	1 pawn. 2 entrust. 3 risk.
mempertarungkan	1 cause persons or animals to fight. 2. risk.
mempertautkan	1 combine s.t. 2 sew up a wound. 3 attach s.t.
mempertebal	strengthen, reinforce.
mempertegang	make tenser.
mempertegas	1 clarify, explain. 2 affirm.
memperteguhkan	1 confirm s.t. 2 strengthen s.t.
memperteliti	scrutinize.
mempertempurkan	1 fight for s.t. 2 cause s.o. to fight (on behalf of another).
mempertemukan	1 (lit.) unite s.o. or s.t. 2 confront.
mempertenggangkan	1 get along on, be economical. 2 consider.
mempertengkarkan	make s.t. the subject of a dispute.
mempertentangkan	1 oppose. 2 contrast.
mempertikaikan	1 differentiate. 2 make s.t. a subject for a quarrel.
mempertimbangkan	consider s.t., mull s.t. over.
mempertinggikan	1 make s.t. higher. 2 enhance.
mempertololkan	consider s.o. a fool, make a fool of.
mempertontonkan	1 show (off), exhibit. 2 play, perform.
mempertopeng	1 mask, hide, disguise. 2 use as a mask.
mempertuankan	1 respect. 2 address s.o. as tuan.
mempertuhankan	consider as a god, deify.
mempertukarkan	1 barter. 2 vary, alternate.
mempertunangkan	affiance.
mempertunggangkan	hold upside down.
mempertunjukkan	1 show, exhibit. 2 demonstrate.
memperulet	make tough, cause to perserve.
memperundikan	raffle off s.t.
memperuntukkan	allocate, assign.
mempesai	tousle (hair).
mempetieskan	1 put on ice. 2 put on the back burner.
mempijah	spawn.
mempijahkan	hatch (fish, etc.).
mempindai	scrutinize, look at carefully.
memplak	extremely white.
memplombir	1 fill (tooth). 2 stop, plug up.
mempocoki	(java) fill a certain position temporarily.
mempolemikkan	carry out a debate over.
mempoles	1 polish. 2 apply makeup.
mempreteli	1 dismantle, tear apart. 2 remove, take out. 3 find out a secret, question thoroughly. 4 wipe out, clear away.
mempublisir	publicize.
mempunahkan	destroy, exterminate.
mempundak	carry on the back.
mempungah	load, cargo.
mempunjut	tie together.
mempunyai	see punya.
mempuput	break, pry open.
mempurukkan	hide s.t. inside.
memuakkan	nauseating, repugnant.
memualkan	sickening, make o. feel nauseous.
memubutkan	grind, crush, pound.
memuja	worship, revere.
memuji	praise, commend.
memukul	1 hit, strike. 2 defeat.
memulangi	return to a place.
memulangkan	1 give back, return, bring back, send s.t. back to where it came from. 2 return what has been expended.
memumpun	collect, gather.
memuncak	culminate, reach a crest.
memundurkan	make s.t back up.
memungkinkan	enable, make possible.
memungut	1 pick, pick up. 2 collect. 3 harvest. 4 quote. 5 adopt (child, etc.).
memupuk	put traditional medicines on a wound.
memurahkan	lower the price.
memvakumkan	put in a vacuum.
memverbalkan	verbalize, put into words.
memveterankan	retire s.o. from the army.
memvisualisasikan	visualize.
memvonis	sentence, condemn s.o.
men-	see also entries with t-, n-.
mena	arbitrarily, in a highhanded and unfair fashion.
menabahkan	make firm, make determined.
menabal	crown or declare s.o. king.
menabalkan	install s.o. as king.
menabok	slap, esp. the head.
menaboki	repeatedly slap s.o.
menabuh	1. strike a gong, etc. 2. 1) strike such a drum. 2) drum on s.t. with o.'s finger.
menabun	collect and burn s.t.
menabur	1 sow, broadcast (seed). 2 scratter s.t. about..
menaburi	1 sow s.t. (a field, etc.). 2 spread over s.t., scatter all over s.t.
menaburkan	1 sow with s.t. 2 scatter, spread.
menadah	1 store liquids, collect liquids in receptacles. 2 (coll.) receive stolen goods.
menadahkan	obtain s.t. (esp. liquids) or whit s.t.
menadbirkan	manage, administer.
menag	[menteri agama] minister of religious affair
menagama	[menteri agama] minister of religion.
menagih	1 dun, collect o.'s debts. 2 demand fulfillment of (a promise, etc.).
menagihkan	collect a debt for s.o.
menahan	1 hold back, restrain, with hold. 2 detain, arrest. 3 provide support for, hold up.
menajam	intensify, reach a critical point.
menajamkan	sharpen s.t., whet s.t.
menak	aristocratic, distinguished, prominent.
menakjubkan	astonish, amaze.
menaksir	estimate, value, appraise.
menakuti	1 frighten s.o. 2 fear s.t.
menakutkan	1 cause s.o. to fear, frighten s.o. 2 fear s.t.
menalang	lend money as a profession.
menalangi	advance s.o. money.
menalarkan	reason or think s.t. out.
menali	tie with a rope.
menalikan	tie s.t. or s.o. to.
menamatkan	conclude s.t.
menambah	add to, increase.
menambahi	increase s.t.
menambahkan	1 add a.t. 2 cause s.t. to increase.
menambak	1 bank up earth to control water flow or irrigate fields, etc. 2 apply a poultice. 3 obstruct movement.
menambal	patch, mend.
menambali	apply a patch to s.t.
menambalkan	1 patch with s.t. 2 patch on behalf of s.o.
menambang	1. mine, dig. 2. cross a body of water by a small passenger boat. 3. fasten with a thick rope. 4. separate from but refuse to support or divorce o.'s wife.
menambatkan	tether, tie up.
menambul	(thea.) do theatrical stunts (magic shows, farces, etc.).
menambunkan	cause to put on some needed weight.
menambur	beat a drum.
menamburi	beat on s.t.
menampa	understand. 2 think, suppose.
menampak	(coll.) see.
menampakkan	make s.t. visible, show.
menampal	1 patch or mend (clothes, inner tube, etc.). 2 patch, plaster.
menampalkan	1 affix a patch, etc. so that it adheres. 2 cause s.t.to adhere.
menampang	1. cut in slices. 2. 1) looking like a tramp. 2) show off, put on.
menampar	beat, slap.
menampari	slap repeatedly.
menamparkan	use s.t. to slap.
menampas	(lit.) lop off.
menampel	(sport) hit a ball or shutlecock.
menampi	winnow s.t.
menampik	reject, refuse.
menampilkan	1 put s.o. or s.t. forward. 2 bring forward to show to the public, show.
menampung	1 intercept and retain falling water (rain, waterfall, spigot, etc.). 2 receive, accommodate, take in.
menampungkan	intercept and retain (water) with s.t.
menanah	menanah
menanak	1 cook rice (by boiling). 2 boil.
menanam	1 plant s.t. 2 cover with earth. 3 (fin.) invest.
menanami	plant on s.t.
menanamkan	1 implant s.t. 2 (fin.) invest.
menancap	1 embed s.t., implant s.t. 2 implanted, stick (of s.t. sharp).
menancapkan	1 implant s.t., embed s.t. 2 transfix with o.'s eyes.
menandai	1 sign s.t., make a mark on s.t. 2 remark, perceive.
menandakan	signify, indicate.
menandaskan	1. spend everything, completely finish s.t. 2. state s.t. firmly, stress s.t.
menandatangani	sign s.t.
menandingi	1 be equal to, be comparable with. 2 stand up to. 3 compete with.
menandingkan	compare.
menandu	carry in a litter.
menanduk	1 butt. 2 (sport) shoot (at billiards).
menandur	plant s.t.
menanduri	plant on or in.
